,data
292,"Econsactually Learning CentreAddress: Blk 72 Lorong 5 Toa Payoh #01-578  , Singapore 310072 Tel: 93373874		Fax: 	Email: clive.foo@econsactually.comSupervisor: Foo Qi Xiang		Main Curriculum: TUTORIAL"
293,"Ecube Science and Math Lab [fka Ecube Education Lab]Address: 1 Marine Parade Central #04-07 Parkway Centre , Singapore 449408 Tel: 63421002		Fax: 	Email: ecube.edulab@gmail.comSupervisor: Kang Kim Hor		Main Curriculum: TUTORIAL"
294,"Edhome Learning CentreAddress: 150 Orchard Road #07-09 Orchard Plaza , Singapore 238841 Tel: 93383114		Fax: 	Email: info@edhome.com.sgSupervisor: Tan Yong Harn, Darrell		Main Curriculum: TUTORIAL"
295,"Ed-Quest Language SchoolAddress: 177A Thomson Road Goldhill Shopping Centre , Singapore 307625 Tel: 63568186		Fax: 63568186	Email: lijunsg@gmail.comSupervisor: Wu Lijun (Mdm)		Main Curriculum: LINGUISTICS"
296,"Edubuilder Learning HubAddress: 16 Jalan Masjid #01-03 Kembangan Suites , Singapore 418941 Tel: 67606174		Fax: 	Email: indrianaseet@gmail.comSupervisor: Tan Chin Chia (Mdm)		Main Curriculum: TUTORIAL"
297,"Education Centre for AchieversAddress: 58 Lowland Road  , Singapore 547453 Tel: 63376385		Fax: 63396517	Email: ritu@tracecapital.com.sgSupervisor: Samireddypalle Mohan		Main Curriculum: TUTORIAL"
298,"Education Renaissance Tutorial CentreAddress: Blk 519 Jurong West Street 52 #01-171  , Singapore 640519 Tel: 65659807		Fax: 	Email: erenquiries@gmail.comSupervisor: Chia Shuang An		Main Curriculum: TUTORIAL"
299,"Edu-Cove Learning Resource CentreAddress: Blk 212 Hougang Street 21 #01-333 (2nd Storey)  , Singapore 530212 Tel: 62850985		Fax: 62850985	Email: edu_cove@yahoo.comSupervisor: Chow Yik Kwong (Mdm)		Main Curriculum: OTHERS"
300,"EduEdge Learning HubAddress: Blk 301 Serangoon Avenue 2 #01-330  , Singapore 550301 Tel: 62888741		Fax: 	Email: admin@eduedge.com.sgSupervisor: Cheng Eng Siong, Edwin		Main Curriculum: TUTORIAL"
301,"Edufirst Learning CentreAddress: 1 Northpoint Drive #02-164 Northpoint City , Singapore 768019 Tel: 65652466		Fax: 	Email: may@edufirst.com.sgSupervisor: Choong Hooi Sian, May (Miss)		Main Curriculum: TUTORIAL"
302,"Edugem Learning CentreAddress: 215E Upper Thomson Road (2nd Storey )  , Singapore 574349 Tel: 87007378		Fax: 	Email: hello@edugem.sgSupervisor: Huan See Lai (Ms)		Main Curriculum: TUTORIAL"
303,"EduGrove Mandarin Enrichment CentreAddress: (Main) 120 Pasir Ris Central #01-01/02  #01-07, Singapore 519640 Tel: 65848489		Fax: 	Email: enquiries@edugrove.com.sgSupervisor: Theseira Jerry Luke		Main Curriculum: ENRICHMENT"
304,"EduGrove Mandarin Enrichment CentreAddress: 112 East Coast Road #3-09 112 Katong , Singapore 428802 Tel: 69095728		Fax: 	Email: adminkt@edugrove.com.sgSupervisor: Theseira Jerry Luke		Main Curriculum: ENRICHMENT"
305,"EduGym Enrichment CentreAddress: Blk 871 Woodlands Street 81 #01-292  , Singapore 730871 Tel: 62693146		Fax: 63923415	Email: rajan@edumasters.com.sgSupervisor: Nagarajan s/o Narayanan		Main Curriculum: ENRICHMENT"
306,"Edulink Learning CentreAddress: Blk 809 Hougang Central #03-178  , Singapore 530809 Tel: 63867055		Fax: 62506628	Email: wsleileen@yahoo.com.sgSupervisor: Wong Siew Lin (Ms)		Main Curriculum: TUTORIAL"
307,"Edulink Learning Centre (Bishan)Address: Blk 116 Bishan Street 12 #02-32 Bishan View , Singapore 570116 Tel: 62506628		Fax: 62506628	Email: wsleileen@yahoo.com.sgSupervisor: Wong Siew Lin (Mdm)		Main Curriculum: TUTORIAL"
308,"Edumore Learning CentreAddress: Blk 511 Canberra Road #02-02 Sembawang Mart , Singapore 750511 Tel: 65551310		Fax: 64151221	Email: admin@edumore.edu.sgSupervisor: Seng Sze Hui (Miss)		Main Curriculum: TUTORIAL"
309,"EduOne Education CenterAddress: Blk 7 Tanjong Pagar Plaza #02-107  , Singapore 081007 Tel: 67070166		Fax: 	Email: eduone.sg@gmail.comSupervisor: Wang Xiao		Main Curriculum: TUTORIAL"
310,"Eduplus Language CentreAddress: Blk 238 Bishan Street 22 #B1-228  , Singapore 570238 Tel: 65531838		Fax: 	Email: eduplus@singnet.com.sgSupervisor: Chang Mei Hsiang (Mdm)		Main Curriculum: LINGUISTICS"
311,"Eduplus Language Centre (Bishan North)Address: Blk 239 Bishan Street 22 #B1-202  , Singapore 570239 Tel: 64630017		Fax: 64631185	Email: eduplus@singnet.com.sgSupervisor: Chang Mei Hsiang (Mdm)		Main Curriculum: LINGUISTICS"
312,"Eduplus Language Centre (Sin Ming)Address: 9 Sin Ming Road #02-01 & #B1-01/02/05 Thomson V One , Singapore 575630 Tel: 64630017		Fax: 64631185	Email: eduplus@singnet.com.sgSupervisor: Chang Mei Hsiang (Mdm)		Main Curriculum: LINGUISTICS"
313,"Eduplus Language Centre (Taman Jurong)Address: 1 Yung Sheng Road #01-02 Jurong Town Community Club , Singapore 618495 Tel: 62658858		Fax: 62655662	Email: eduplus@singnet.com.sgSupervisor: Chang Mei Hsiang (Mdm)		Main Curriculum: LINGUISTICS"
314,"Eduplus Language Centre (Tampines)Address: Blk 492B Tampines Avenue 9 #01-422  , Singapore 520492 Tel: 67862821		Fax: 65531829	Email: eduplus@singnet.com.sgSupervisor: Chang Mei Hsiang (Mdm)		Main Curriculum: LINGUISTICS"
315,"Eduplus Language Centre (UE Square) [fka Eduplus Language Centre (Liang Court)]Address: 81 Clemenceau Avenue #02-11 UE Square , Singapore 239918 Tel: 68372538		Fax: 68372568	Email: eduplus@singnet.com.sgSupervisor: Chang Mei Hsiang (Mdm)		Main Curriculum: LINGUISTICS"
316,"Eduplus Language Centre (Ulu Pandan)Address: 170 Ghim Moh Road #01-03 Ulu Pandan Community Building , Singapore 279621 Tel: 64630017		Fax: 64631185	Email: eduplus@singnet.com.sgSupervisor: Chang Mei Hsiang (Mdm)		Main Curriculum: LINGUISTICS"
317,"Edu-Point Learning HubAddress: Blk 134 Jurong East Street 13 #03-309A  , Singapore 600134 Tel: 68991968		Fax: 65673930	Email: eduplh@singnet.com.sgSupervisor: Quek Jun-Ling, Patricia (Mdm)		Main Curriculum: TUTORIAL"
318,"Eduscape Learning CentreAddress: 46 East Coast Road #10-06 Eastgate , Singapore 428766 Tel: 63488525		Fax: 	Email: hello@eduscape.sgSupervisor: Sim Kwang He, Nicholas		Main Curriculum: TUTORIAL"
319,"Edustar School (Toa Payoh)Address: Blk 17A Lorong 7 Toa Payoh #02-192  , Singapore 311017 Tel: 62585585		Fax: 	Email: edustar@singnet.com.sgSupervisor: Tan Kok Tong		Main Curriculum: TUTORIAL"
320,"Eduwise Language SchoolAddress: (Main) Blk 744 Bedok Reservoir Road #01-3053  , Singapore 470744 Tel: 62434757		Fax: 	Email: eduwiselanguage@gmail.comSupervisor: Ye Lihua (Ms)		Main Curriculum: LINGUISTICS"
321,"Eduwise Language SchoolAddress: 144 Upper Bukit Timah Road #03-39 Beauty World Centre , Singapore 588177 Tel: 62434757		Fax: 	Email: eduwiselanguage@gmail.comSupervisor: Ye Lihua (Ms)		Main Curriculum: LINGUISTICS"
322,"EDvolution Learning StudioAddress: 557 Bukit Timah Road #02-09 Crown Centre , Singapore 269694 Tel: 69081656		Fax: 	Email: expressyourwords@gmail.comSupervisor: Liew Kam Fatt		Main Curriculum: TUTORIAL"
323,"Edvox Music SchoolAddress: Blk 204 Hougang Street 21 #03-103  #02-101, Singapore 530204 Tel: 62877240		Fax: 62344528	Email: class@edvox.comSupervisor: Foo Chee Juey		Main Curriculum: FINE ARTS"
324,"Edvox Music School (SP)Address: Blk 475 Choa Chu Kang Avenue 3 #02-11/12/13 Sunshine Place , Singapore 680475 Tel: 61003380		Fax: 63993380	Email: class@edvox.comSupervisor: Foo Chee Juey		Main Curriculum: FINE ARTS"
325,"Edvox Music School MP [fka Edvox Music School (MP)]Address: Blk 86 Marine Parade Central #03-211  #03-209, Singapore 440086 Tel: 61003380		Fax: 63993380	Email: class@edvox.comSupervisor: Foo Chee Juey		Main Curriculum: FINE ARTS"
326,"Effective R Us Tuition CentreAddress: Blk 129 Bedok North Street 2 #01-36/38  , Singapore 460129 Tel: 64417607		Fax: 64417607	Email: Supervisor: Teo Eng Hock, Michael (Dr)		Main Curriculum: TUTORIAL"
327,"Efficient Tuition CentreAddress: c/o Blk 201E Tampines Street 23 #03-102  , Singapore 527201 Tel: 67879813		Fax: 	Email: Supervisor: Amy Chan Wee Hong (Mdm)		Main Curriculum: TUTORIAL"
328,"Eishinkan Learning SchoolAddress: 111 Somerset Road#02-22/23/24/25/26 Tripleone Somerset , Singapore 238164 Tel: 63363266		Fax: 63363200	Email: y-terada@eishinkan.co.jpSupervisor: Yosuke Terada		Main Curriculum: TUTORIAL"
329,"Ekove Study CentreAddress: Blk 417 Yishun Avenue 11 #01-331  , Singapore 760417 Tel: 67540567		Fax: 67540554	Email: ekove1@gmail.comSupervisor: Ramanan Ramadoss		Main Curriculum: TUTORIAL"
330,"Elite Creations Education CentreAddress: Blk 350 Jurong East Avenue 1 #01-1225 (2nd Floor)  , Singapore 600350 Tel: 64255071		Fax: 64255086	Email: Supervisor: Teo Kai Por		Main Curriculum: TUTORIAL"
331,"Elite Creations Education Centre (Bukit Batok)Address: Blk 153 Bukit Batok Street 11 #03-282  , Singapore 650153 Tel: 83339193		Fax: 	Email: liyun_lim@yahoo.com.sgSupervisor: Lim Lay Hoon (Mdm)		Main Curriculum: TUTORIAL"
332,"Elite Creations Education Centre (West Coast)Address: Blk 727 Clementi West Street 2 #01-258 (2nd Storey)  , Singapore 120727 Tel: 67770647		Fax: 	Email: tcw-registrar@elitecreations-edu.comSupervisor: Tew Tze Hong		Main Curriculum: TUTORIAL"
333,"Elite Education & Talent CentreAddress: Blk 8 Lorong 7, Toa Payoh #01-287  , Singapore 310008 Tel: 63566550		Fax: 	Email: samsonleo@gmail.comSupervisor: Seah Thiam Hock		Main Curriculum: TUTORIAL"
334,"Elite Learning CentreAddress: Blk 720 Jurong West Avenue 5 #B1-94  , Singapore 640720 Tel: 67957798		Fax: 	Email: elitekidscentre@singnet.com.sgSupervisor: Yang Yan (Ms)		Main Curriculum: ENRICHMENT"
335,"Elite Learning Centre (Woodlands)Address: Blk 851 Woodlands Street 83 #01-18  , Singapore 730851 Tel: 63673361		Fax: 63626169	Email: elitekidscentre@singnet.com.sgSupervisor: Zheng Mingyan (Miss)		Main Curriculum: TUTORIAL"
336,"Elka Music School (Yishun)Address: Blk 102 Yishun Avenue 5 #03-129  , Singapore 760102 Tel: 67537088		Fax: 	Email: Supervisor: Sally Lo Wai Meng (Mdm)		Main Curriculum: FINE ARTS"
337,"Elsa's Learning SpaceAddress: Blk 517 Jurong West Street 52 #01-83 (2nd Storey)  , Singapore 640517 Tel: 96607787		Fax: 	Email: elsa.yq@gmail.comSupervisor: Leong Yin Qi, Elsa (Miss)		Main Curriculum: TUTORIAL"
338,"Embrace Learning HouseAddress: Blk 144 Teck Whye Lane #01-217 (2nd Storey)  , Singapore 680144 Tel: 67666893		Fax: 67666893	Email: seashirley@singnet.com.sgSupervisor: Seah Ka Hoon (Mdm)		Main Curriculum: TUTORIAL"
339,"EMC Learning CentreAddress: Blk 250 Bishan Street 22 #B1-384  , Singapore 570250 Tel: 64514188		Fax: 64513181	Email: emclc@yahoo.com.sgSupervisor: Teo Leng Bee, Elizabeth (Ms)		Main Curriculum: TUTORIAL"
340,"Emma Study PlaceAddress: (Main) Blk 209 New Upper Changi Road #04-647  , Singapore 460209 Tel: 66351625		Fax: 	Email: finance.esp@emmastudyplace.comSupervisor: Chin Wai Yee, Elaine (Mdm)		Main Curriculum: TUTORIAL"
341,"Emma Study PlaceAddress: 8 Jalan Tampang  , Singapore 758952 Tel: 64932325		Fax: 	Email: Elaine.chin@emmastudyplace.comSupervisor: Chin Wai Yee, Elaine (Mdm)		Main Curriculum: TUTORIAL"
342,"Emmanuel Music SchoolAddress: Blk 215 Bedok North Street 1 #02-83  , Singapore 460215 Tel: 64443677/64488338		Fax: 	Email: mail@emmanuelmusic.com.sgSupervisor: Loh Wah Kay		Main Curriculum: FINE ARTS"
343,"Empire Code Education CentreAddress: 19 Tanglin Road #04-15 Tanglin Shopping Centre , Singapore 247909 Tel: 81455004		Fax: 	Email: sg@empirecode.coSupervisor: Tang Jasmine Anna )Miss)		Main Curriculum: ENRICHMENT"
344,"Emsbridge Education Centre [fka Emsbridge Tutorial Centre]Address: Blk 809 Hougang Central #04-184  , Singapore 530809 Tel: 90700857		Fax: 	Email: yakhwee@gmail.comSupervisor: Tan Yak Hwee, Martina (Mdm)		Main Curriculum: TUTORIAL"
345,"Engineers Angle Learning CentreAddress: 1 Brooke Road #02-46 Katong Plaza , Singapore 429979 Tel: 97294140		Fax: 	Email: admin@engineersangle.comSupervisor: Cheah Zhi Sin		Main Curriculum: TUTORIAL"
346,"English Builder Learning CentreAddress: Blk 492 Jurong West Street 41 #01-22  , Singapore 640492 Tel: 65656770		Fax: 	Email: english_builder@ymail.comSupervisor: Sivasubramaniam s/o Ramasamy		Main Curriculum: ENRICHMENT"
347,"EnglishChamps AcademyAddress: 150 Orchard Road #05-32/33 Orchard Plaza , Singapore 238841 Tel: 94561041		Fax: 	Email: englishchamps@gmail.comSupervisor: Lim, Tamara Gunzinger (Mrs)		Main Curriculum: TUTORIAL"
348,"Epic Learning CentreAddress: 317 Outram Road #02-37 Concorde Shopping Centre , Singapore 169075 Tel: 67357617		Fax: 	Email: epiclearningcentre@gmail.comSupervisor: Wang Dongsheng		Main Curriculum: ENRICHMENT"
349,"Epoch Talent Academy [fka Epoch Talent Development Education Centre]Address: Blk 86 Marine Parade Central #04-302  , Singapore 440086 Tel: 63420681		Fax: 63420682	Email: epoch@singnet.com.sgSupervisor: Wu Bibo (Mdm)		Main Curriculum: LINGUISTICS"
350,"Epower Language HubAddress: 1 North Bridge Road #03-41A High Street Centre , Singapore 179094 Tel: 68831518		Fax: 68831535	Email: epowerlanguage@gmail.comSupervisor: Lu Shaoling (Ms)		Main Curriculum: LINGUISTICS"
351,"Eric Kua Education CentreAddress: 170 Upper Bukit Timah Road #02-63 Bukit Timah Shopping Centre , Singapore 588179 Tel: 67884880		Fax: 	Email: erickua2003@yahoo.comSupervisor: Kua Yeow Koon, Eric		Main Curriculum: TUTORIAL"
352,"Essence Education CentreAddress: 587 Bukit Timah Road #03-32 Coronation Plaza , Singapore 269707 Tel: 98807976		Fax: 	Email: info@essenceedu.comSupervisor: Zhou Jing (Mdm)		Main Curriculum: ENRICHMENT"
353,"Essence Education Centre (AMK)Address: Blk 608 Ang Mo Kio Avenue 5 #01-2783  , Singapore 560608 Tel: 98807976		Fax: 	Email: info@essenceedu.comSupervisor: Zhou Jing (Miss)		Main Curriculum: ENRICHMENT"
354,"Essence Education Centre (East Coast)Address: 1 Marine Parade Central #08-08 Parkway Centre , Singapore 449408 Tel: 97257350		Fax: 	Email: xlynne2001@yahoo.comSupervisor: Xu Liqun (Mdm)		Main Curriculum: ENRICHMENT"
355,"Essential Minds Tutorial CentreAddress: 291 Joo Chiat Road #02-09/10 JK Centre , Singapore 427543 Tel: 97555982		Fax: 	Email: essentialminds@hotmail.sgSupervisor: Yap Pei Ling, Carol (Miss)		Main Curriculum: TUTORIAL"
356,"Eton Tuition CentreAddress: Blk 424 Hougang Avenue 6 #B1-74  , Singapore 530424 Tel: 63853133		Fax: 	Email: etonedu@gmail.comSupervisor: Tan Jun Wei		Main Curriculum: TUTORIAL"
357,"Etutor Learning CentreAddress: 1 Marine Parade Central #12-07 Parkway Centre , Singapore 449408 Tel: 63456696		Fax: 63456656	Email: service@etutorlearning.comSupervisor: Huang Liangyu		Main Curriculum: ENRICHMENT"
358,"Eureka Edvantage Learning HubAddress: 10 Winstedt Road #03-01 Block A , Singapore 227977 Tel: 64711555		Fax: 	Email: thamian@gmail.comSupervisor: Tham Poh Loong, Ian		Main Curriculum: TUTORIAL"
359,"Eureka Learning Centre (fka Bestlearn Tuition Centre)Address: Blk 493E Tampines Street 43 #01-326  , Singapore 524493 Tel: 67830588		Fax: 	Email: Supervisor: Lee Wai Kwok, Adrian		Main Curriculum: TUTORIAL"
360,"Eureka! Tuition HubAddress: 80 Marine Parade Road #13-01 Parkway Parade , Singapore 449269 Tel: 84840468		Fax: 	Email: eurekatuitionhub@yahoo.comSupervisor: Nelty Agustina Susanto (Mdm)		Main Curriculum: ENRICHMENT"
361,"Evo Learning HubAddress: Blk 11 Chai Chee Road #01-15  , Singapore 460011 Tel: 64411680		Fax: 64411680	Email: rosrosrosalind@yahoo.com.sgSupervisor: Chan Li Ling, Rosalind (Miss)		Main Curriculum: TUTORIAL"
362,"Excel Zone Education CenterAddress: Blk 163 Bukit Merah Central #03-3601  , Singapore 150163 Tel: 91134938		Fax: 	Email: excelzone14@gmail.comSupervisor: Tan Pin Jin		Main Curriculum: TUTORIAL"
363,"Excelerate Learning CentreAddress: Blk 683 Hougang Avenue 8 #01-929  , Singapore 530683 Tel: 63861396		Fax: 63861396	Email: yanho@singnet.com.sgSupervisor: Tay Ee Kiang, Sharon (Mdm)		Main Curriculum: TUTORIAL"
364,"Excelerate Learning Centre (Tampines)Address: Blk 419 Tampines Street 41 #01-92  , Singapore 520419 Tel: 62603171		Fax: 	Email: Supervisor: Tay Ee Kiang, Sharon (Mdm)		Main Curriculum: TUTORIAL"
365,"Excella Learning HubAddress: Blk 237 Choa Chu Kang Central #B1-63  , Singapore 680237 Tel: 67637737		Fax: 	Email: liyunxiu@gmail.comSupervisor: Li Yunxiu		Main Curriculum: TUTORIAL"
366,"Explorers Edu-place [fka Brain Domain Enrichment School]Address: 21 Hougang Street 51 #02-06 Hougang Green Shopping Mall , Singapore 538719 Tel: 63853923		Fax: 63857923	Email: info@brain-domain.comSupervisor: Ashoo Modgil (Miss)		Main Curriculum: ENRICHMENT"
367,"Exuberance Learning CentreAddress: Blk 105 Clementi Street 12 #01-02  , Singapore 120105 Tel: 67745412/98189087		Fax: 	Email: nlotsklub@hotmail,comSupervisor: Ng Lilian (Miss)		Main Curriculum: ENRICHMENT"
368,"eZoo School of Music and Fine ArtsAddress: 2 Swiss View #01-01  , Singapore 288008 Tel: 64604660		Fax: 64693428	Email: elizteng@yahoo.comSupervisor: Teng Ping Ying (Mdm)		Main Curriculum: FINE ARTS"
369,"Ezybox Learning HubAddress: Blk 253 Serangoon Central Drive #01-193  , Singapore 550253 Tel: 62839919		Fax: 	Email: e9ang@yahoo.com.sgSupervisor: Ang Chong Peng		Main Curriculum: TUTORIAL"
370,"Faith Learning CentreAddress: 9 King Albert Park #02-27 KAP , Singapore 598332 Tel: 64695280		Fax: 	Email: shaodan@gmail.comSupervisor: Shao Dan (Miss)		Main Curriculum: ENRICHMENT"
371,"Fame Music SchoolAddress: 1 Jalan Anak Bukit #02-09 Bukit Timah Plaza , Singapore 588996 Tel: 64692090		Fax: 	Email: info@famemusicschool.comSupervisor: Zalizan bin Ishak		Main Curriculum: FINE ARTS"
372,"Fangcao Yuan Education CentreAddress: (Main) Blk 168 Lorong 1 Toa Payoh #01-1026  , Singapore 310168 Tel: 63522210		Fax: 	Email: lrw_liu@126.comSupervisor: Liu Rong		Main Curriculum: ENRICHMENT"
373,"Fangcao Yuan Education CentreAddress: Blk 163 Ang Mo Kio Avenue 4 #01-476 Mayflower Shopping & Food Centre , Singapore 560163 Tel: 64525969		Fax: 	Email: Lrw_liu@126.comSupervisor: Liu Rong		Main Curriculum: ENRICHMENT"
374,"Fat Brain Learning CentreAddress: Blk 419 Tampines Street 41 #01-92  , Singapore 520419 Tel: 67832132		Fax: 67832132	Email: ask@fatbrain.com.sgSupervisor: Foo Wann Yun (Miss)		Main Curriculum: TUTORIAL"
375,"Feng Hua Language Studies CentreAddress: 557 Bukit Timah Road #02-13 Crown Centre , Singapore 269694 Tel: 64649415		Fax: 63147989	Email: fenghua0213@yahoo.comSupervisor: Qu Hua (Mdm)		Main Curriculum: LINGUISTICS"
376,"Fey Siang Education CentreAddress: 5 Tampines Street 32 #02-01 Tampines Mart , Singapore 529285 Tel: 67870791		Fax: 64556403	Email: fsedu@yahoo.com.sgSupervisor: Loo Chong Ching		Main Curriculum: TUTORIAL"
377,"Findings Education CentreAddress: 271 Bukit Timah Road #04-08 Balmoral Plaza , Singapore 259708 Tel: 67361221		Fax: 67361913	Email: enquiries@findings.com.sgSupervisor: Niap Mei Shia, Michele (Miss)		Main Curriculum: TUTORIAL"
378,"Firsland SkoolHouseAddress: (Main) 2 Pandan Valley #01-207 Acacia Court , Singapore 597626 Tel: 64685855		Fax: 64686589	Email: firslandskoolhouse@gmail.comSupervisor: Rosnani bte Saleh (Ms)		Main Curriculum: ENRICHMENT"
379,"Firsland SkoolHouseAddress: Blk 2 Balestier road #01-653 Balestier Hill Shopping Centre , Singapore 320002 Tel: 62557988		Fax: 	Email: firslandskoolhouse@gmail.comSupervisor: Rosnani bte Saleh (Ms)		Main Curriculum: ENRICHMENT"
380,"First Bridge LearningAddress: (Main) Blk 279 Bishan Street 24 #01-58  , Singapore 570279 Tel: 90622287		Fax: 	Email: Jessica_chong_sg@yahoo.comSupervisor: Chong Lay Ching, Jessica (Mdm)		Main Curriculum: ENRICHMENT"
381,"FIS Learning CentreAddress: 345 Old Nelson Road Admiralty Hill , Singapore 758692 Tel: 68426001		Fax: 68427001	Email: fis@fis.edu.sgSupervisor: Mok Kah Sing, David		Main Curriculum: TUTORIAL"
382,"Fisherman Music SchoolAddress: 6 Sin Ming Road #01-14 Sin Ming Plaza , Singapore 575585 Tel: 64566165		Fax: 64577930	Email: music@fimusch.comSupervisor: Wan Hill Kuan (Miss)		Main Curriculum: FINE ARTS"
383,"Flint Education CentreAddress: Blk 11A Boon Tiong Road #02-09/10  , Singapore 161011 Tel: 62532572		Fax: 	Email: spark@flint-education.comSupervisor: Teo Siok Yee, Florence (Mdm)		Main Curriculum: TUTORIAL"
384,"Florence Learning HubAddress: 271 Bukit Timah Road #B1-06 Balmoral Plaza , Singapore 259708 Tel: 92344012		Fax: 	Email: hooflorence@gmail.comSupervisor: Hoo Loke Mui (Mdm)		Main Curriculum: TUTORIAL"
385,"Flying Colours Education CentreAddress: Blk 39 Chai Chee Avenue #01-219  , Singapore 461039 Tel: 64458852		Fax: 64458852	Email: flyingcolours39@hotmail.comSupervisor: Chang Meng Yong		Main Curriculum: TUTORIAL"
386,"Flying Colours Learning CentreAddress: Blk 158 Bedok South Avenue 3 #01-579  , Singapore 460158 Tel: 97715025		Fax: 	Email: flyingcolours158@yahoo.comSupervisor: Chua Ai Lan (Mdm)		Main Curriculum: TUTORIAL"
387,"Focus Education CentreAddress: 50 East Coast Road #02-139/140 Roxy Square , Singapore 428769 Tel: 63465211		Fax: 	Email: krish_1409@yahoo.com.sgSupervisor: Vikneshwaran s/o Krishna Kumar		Main Curriculum: TUTORIAL"
388,"Foorman Music StudiosAddress: Blk 2 Jalan Bukit Merah #01-5166  , Singapore 150002 Tel: 62739880		Fax: 62739880	Email: Supervisor: Rose Wang Siew Mang (Mdm)		Main Curriculum: FINE ARTS"
389,"Forever Education SchoolAddress: 252 Tembeling Road #01-08 Tembeling Centre , Singapore 423731 Tel: 62479891		Fax: 62477689	Email: Xiaochun69@gmail.comSupervisor: Li Xiaochun		Main Curriculum: ENRICHMENT"
390,"Forms Ballet and Dance CentreAddress: 12 West Coast Walk #02-17 West Coast Recreation Centre , Singapore 127157 Tel: 67780689		Fax: 	Email: formsballet@pacific.net.sgSupervisor: Cheong Sarkies Susan Violet (Mrs)		Main Curriculum: FINE ARTS"
391,"Formuless Maths Learning CentreAddress: 116 Changi Road #03-14 WIS@Changi , Singapore 419718 Tel: 98293745		Fax: 	Email: formulessmath@gmail.comSupervisor: Ng Lip Tong		Main Curriculum: TUTORIAL"
392,"Fran Learning CentreAddress: Blk 85 Lorong 4 Toa Payoh #01-332  , Singapore 310085 Tel: 62528218		Fax: 	Email: francistlk@hotmail.comSupervisor: Teo Leng Kuan		Main Curriculum: TUTORIAL"
393,"Frankel Freeman EducentreAddress: 55A Serangoon Garden Way  , Singapore 555951 Tel: 62857200		Fax: 62851128	Email: frankelfreeman@yahoo.com.sgSupervisor: Teh Nguk Cee (Miss)		Main Curriculum: TUTORIAL"
394,"Frankel TutorsAddress: 18 Jalan Masjid #B1-07 Kembangan Plaza #01-03, Singapore 418944 Tel: 64418120		Fax: 	Email: frankeltutors@yahoo.com.sgSupervisor: Chan Choon Seng, Michael		Main Curriculum: TUTORIAL"
395,"French Language AcademyAddress: Blk 452 Ang Mo Kio Avenue 10 #01-1793 (2nd Storey)  , Singapore 560452 Tel: 83397286		Fax: 63528215	Email: contact@frenchlanguage academy.sgSupervisor: Larocque, Karine (Ms)		Main Curriculum: LINGUISTICS"
396,"French Language StudioAddress: 81 East Coast Road, 2nd Storey  , Singapore 428785 Tel: 66103697		Fax: 	Email: amelie@frenchstudio.sgSupervisor: Recroix, Amelie Charlotte (Ms)		Main Curriculum: LINGUISTICS"
397,"French Toast Language CentreAddress: 220A Upper Thomson Road  , Singapore 574352 Tel: 64556518		Fax: 	Email: contact@frenchtoast,sgSupervisor: Zhang Guoyi		Main Curriculum: LINGUISTICS"
398,"Fruition Learning HubAddress: Blk 607 Ang Mo Kio Avenue 4 #01-1291  , Singapore 560607 Tel: 64578478		Fax: 67250758	Email: angie.tan@fruition.com.sgSupervisor: Tan Sue Yee (Miss)		Main Curriculum: TUTORIAL"
399,"Full Marks Tuition Centre [fka MW Tuition]Address: Blk 163 Ang Mo Kio Avenue 4 #01-454  , Singapore 560163 Tel: 65249397		Fax: 	Email: admin@fullmarks.sgSupervisor: Tan Sheng Yeow, Bossly		Main Curriculum: TUTORIAL"
400,"Fun Kidz Learning PlaceAddress: Blk 729 Yishun Street 71 #01-107  , Singapore 760729 Tel: 88287672		Fax: 	Email: funkidzlearningplace@hotmail.comSupervisor: Poh Szu Iee (Mdm)		Main Curriculum: TUTORIAL"
401,"Fun Learners' SchoolAddress: (Main) Blk 371 Bukit Batok Street 31 #02-328  #02-326, Singapore 650371 Tel: 65673208		Fax: 63990322	Email: chinyoung@alumni.nus.edu.sgSupervisor: Chee Chin Young		Main Curriculum: TUTORIAL"
402,"Fun Learners' SchoolAddress: 144 Upper Bukit Timah Road #03-02 Beauty World Centre , Singapore 588177 Tel: 65673208		Fax: 	Email: peipei@funlearning.com.sgSupervisor: Chee Chin Young		Main Curriculum: TUTORIAL"
403,"Fun With Abacus SchoolAddress: 1 Brooke Road #02-45 Katong Plaza , Singapore 429979 Tel: 97865383		Fax: 	Email: course@funwithabacus.comSupervisor: Tay Wee Sum, Joy (Miss)		Main Curriculum: ENRICHMENT"
404,"Fun-Da-Mentals Learning CentreAddress: 1 Brooke Road #02-21 Katong Plaza , Singapore 429979 Tel: 98472637		Fax: 	Email: fundamentals.jk@gmail.comSupervisor: Koh Li Lian, Jeannette (Mdm)		Main Curriculum: TUTORIAL"
405,"Future AcademyAddress: 175A Bencoolen Street #06-05 Burlington Square , Singapore 189650 Tel: 68846566		Fax: 68846366	Email: chen@tutorchen.comSupervisor: Chen Ye (Mdm)		Main Curriculum: TUTORIAL"
406,"G1.2 Learning CentreAddress: Blk 354 Clementi Avenue 2 #01-201 Clementi Avenue 2 Shopping Centre , Singapore 120354 Tel: 92317202		Fax: 	Email: principal@g12learningcentre.com.sgSupervisor: Yong Yuen Hwa		Main Curriculum: TUTORIAL"
